"Source:","/home/nikolasf/Dokumente/01_git/LEA_control_board/hardware/01_Control_boards/LCB-CCB-01/Control_Board.kicad_sch"
"Date:","Di 21 Mär 2023 13:13:54 CET"
"Tool:","Eeschema (6.0.11)"
"Generator:","/home/nikolasf/Dokumente/01_git/LEA_control_board/hardware/KiCad_Library/bom_csv.py"
"Component Count:","230"
"Ref","Qnty","Mouser","Value","Cmp name","Footprint"
"ACCESSORY901, ","1","474-CAB-15424","ACCESSORY_USB_C_cable","ACCESSORY_USB_C_cable","","8.41","35 Auf Lager"
"C201, C205, C207, C216, ","4","810-C1608X5R1V475K","4.7uF/16V","C_0603__4u7_X5R_10P__35V","LEA_FootprintLibrary:C_0603","0.395","290619 Auf Lager"
"C202, C203, C702, C802, C805, C808, C811, ","7","810-C1005X7R1H103KBE","10nF/50V","C_0402__10n_X7R_10P__50V_2","LEA_FootprintLibrary:C_0402","0.141","179096 Auf Lager"
"C204, C601, C602, ","3","810-C1005X5R1V105K","1uF/50V","C_0402__1u0_X5R_10P__35V","LEA_FootprintLibrary:C_0402","0.16","636723 Auf Lager"
"C206, C208, C209, C210, C211, C212, C213, C214, C215, C217, C218, C219, C220, C302, C303, C306, C307, C701, C703, C704, C705, C706, C707, C708, C709, C710, C711, C712, C713, C714, C715, C716, C717, C718, C719, C720, C721, C722, C723, C724, C725, C726, C727, C728, C729, C730, C803, C806, C809, C812, C813, C814, C815, C901, C902, C903, ","56","810-C1005X7R1H104K","100nF/50V","C_0402_100n_X7R_10P__50V_1","LEA_FootprintLibrary:C_0402","0.103","4563478 Auf Lager"
"C301, C304, C305, C308, C603, C604, C605, C606, ","8","810-C1005X5R1V225K","2.2uF/25V","C_0402__2u2_X5R_10P__35V","LEA_FootprintLibrary:C_0402","0.291","462972 Auf Lager"
"C607, C608, ","2","81-GRM155R61A106ME1D","10uF/10V","C_0402__10u_X5R_20P__10V","LEA_FootprintLibrary:C_0402","0.122","795389 Auf Lager"
"C801, C804, C807, C810, C907, C908, C911, C912, C915, C916, C919, C920, C923, C924, C927, C928, ","16","810-C1005X7R1H102K","1nF/50V","C_0402__1n0_X75_10P__50V_9","LEA_FootprintLibrary:C_0402","0.094","231941 Auf Lager"
"C905, C906, C909, C910, C913, C914, C917, C918, C921, C922, C925, C926, ","12","80-C0402C101K5GAL","100pF/50V","C_0402_100p_C0G_10P__50V_11","LEA_FootprintLibrary:C_0402","0.649","10176 Auf Lager"
"C929, ","1","187-CL10A226KQ8NRNE","22uF/16V","C_0603__22u_X5R_10P_6V3","LEA_FootprintLibrary:C_0603","0.442","121544 Auf Lager"
"D201, D203, D204, D1001, D1002, D1003, D1006, ","7","755-SML-P11UTT86R","LED_SML-P11MTT86R","LED_0402_R_1mA_SML-P11UTT86R","LEA_FootprintLibrary:LED_0402","0.404","121994 Auf Lager"
"D202, ","1","726-BAS3010A-03WE6","BAS3010A03WE6327HTSA1","BAS3010A03WE6327HTSA1","LEA_FootprintLibrary:SOD-323_Infineon","0.479","1215 Auf Lager"
