Bestellliste;;;;;;;;
;;;;;;;;
;;;;;;;;
Autor:;;;;;;;;
Datum:;24.02.2022;;;;;;;
AO:;;;;;;;;
Projekt;LEA-Control-Card;;;;Summe;448,51 €;;
Position;Bauteil;Bezeichnung;Artikelnummer;Anzahl;Preis/Stück;Gesamtpreis;;
1;10nF/50V;C0402C103K5REC7411;80-C0402C103K5RECLR;30;0,07 €;2,07 €;;
2;1uF/50V;UMK105CBJ105KV-F;963-UMK105CBJ105KV-F;15;0,13 €;1,92 €;Link;
3;100nF/50V;GRM155R71H104KE14D;81-GRM155R71H104KE4D;230;0,01 €;3,22 €;;
4;2,2uF/25V;TMK105CBJ225KV-F;963-TMK105CBJ225KV-F;35;0,08 €;2,84 €;;
5;330pF/50V;AC0402JRNPO9BN331;603-AC0402JRNP9BN331;110;0,02 €;2,64 €;;
6;10uF/10V    0402;CL05A106MP6NUN8;187-CL05A106MP6NUN8;20;0,09 €;1,80 €;;
7;22pF/50V;C0402C220K5RACTU;80-C0402C220K5RACTU;15;0,11 €;1,65 €;;
8;1nF/50V;C0402C102J5RACTU;80-C0402C102J5R;80;0,03 €;2,24 €;;
9;4.7uF/16V;GRM188Z71C475KE21D;81-GRM188Z71C475KE1D;15;0,16 €;2,40 €;;
10;22uF/16V;CL10A226MO7JZNC;187-CL10A226MO7JZNC;15;0,32 €;4,74 €;;
11;10uF/10V    0603;GRM188Z71A106KA73D;81-GRM188Z71A106KA3D;10;0,14 €;1,42 €;;
12;LED G;SML-P11MTT86R;755-SML-P11MTT86R;30;0,19 €;5,79 €;Link;
13;Schottky Diode;BAS3010A03WE6327HTSA1;726-BAS3010A-03WE6;10;0,29 €;2,87 €;;
14;;;;;;;;
15;LED R;SML-P11UTT86R;755-SML-P11UTT86R;10;0,23 €;2,31 €;Link;
16;LDO;MIC5259-3.3YD5-TR;998-MIC5259-3.3YD5TR;6;0,55 €;3,31 €;;
17;LDO;MIC5504-1.2YM5-T5;998-MIC5504-1.2YM5T5;6;0,17 €;1,00 €;;
18;Analoge Komparatoren;MAX978EEE+;700-MAX978EEE;5;6,20 €;31,00 €;Small comparator, no more necessary (new position 52);
19;USB-C;USB4110-GF-A;640-USB4110-GF-A;5;1,17 €;5,85 €;;
20;JTAG;CLM-107-02-L-D-K-TR;200-CLM10702LDKTR;5;3,15 €;15,75 €;;
21;HW-Monitor Connector;53261-7006;538-53261-7006;5;1,42 €;7,10 €;;
22;Connector;ERF5-075-05.0-L-DV-TR;200-ERF507505.0LDVTR;10;8,24 €;82,40 €;;
23;Connector;ERM5-075-05.0-L-DV-K-TR;200-ERM5075050LDVKTR;10;8,80 €;88,00 €;;
24;Ferritperlen;BLM15AG601SN1D;81-BLM15AG601SN1D;10;0,05 €;0,52 €;;
25;4,7uH;1277AS-H-4R7M=P2;81-1277AS-H-4R7MP2;5;0,40 €;2,02 €;;
