"Source:","/home/nikolasf/Dokumente/01_git/LEA_control_board/hardware/02_Extension_boards/LCB-CHW-001 Hardware Monitor/Hardware_Monitor.kicad_sch"
"Date:","So 20 Nov 2022 14:47:37 CET"
"Tool:","Eeschema (6.0.9)"
"Generator:","/home/nikolasf/Dokumente/01_git/LEA_control_board/hardware/KiCad_Library/bom_csv.py"
"Component Count:","43"
"Ref","Qnty","Mouser","Value","Cmp name","Footprint"
"C201, C202, C203, C204, ","4","810-C1608X7R1H102KAE","1n/50V","C_0603__1n0_X7R_10P__50V","LEA_FootprintLibrary:C_0603","0.19","312874 Auf Lager"
"C301, C303, C306, C308, ","4","810-C1608X5R1V225K","2.2u/25V","C_0603__2u2_X5R_10P__35V","LEA_FootprintLibrary:C_0603","0.25","97715 Auf Lager"
"C302, C304, C305, C307, C402, ","5","810-C1608X5R1H104K","100n/50V","C_0603_100n_X5R_10P__50V","LEA_FootprintLibrary:C_0603","0.12","490727 Auf Lager"
"C401, ","1","81-GRM188R61E106KA3D","10µ/16V","C_0603__10u_X5R_10P__25V","LEA_FootprintLibrary:C_0603","0.28","1560001 Auf Lager"
"D301, D302, ","2","604-APTD1608LCGCK","LED_APTD1608LCGCK","LED_0603_G_2mA_APTD1608LCGCK","LEA_FootprintLibrary:LED_0603","0.44","47200 Auf Lager"
"J201, J202, J203, J204, ","4","538-73100-0207","Molex_731000207","Con_Molex_731000207","LEA_FootprintLibrary:SMB_Molex731000207","2.83","5499 Auf Lager"
"J301, ","1","","Molex_532617006","Molex_532617006","LEA_FootprintLibrary:6-PinHeader_Molex_532617006","0","0"
"R201, R202, R205, R206, ","4","71-CRCW060310K0FKEAC","10K","R_0603__10k_THICK__1P__75V","LEA_FootprintLibrary:R_0603","0.10","2154082 Auf Lager"
"R203, R204, R207, R208, ","4","71-CRCW0603100RFKEAC","100R","R_0603_100R_THICK__1P__75V","LEA_FootprintLibrary:R_0603","0.10","1335132 Auf Lager"
"R301, R302, R303, ","3","","700R","R_Small","LEA_FootprintLibrary:R_0603","0","0"
"TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP208, ","8","534-5019","Keystone_Electronics_5019","TP_Keystone_Electronics_5019","LEA_FootprintLibrary:TestPoint_KeystoneElectronics5019","0.34","310105 Auf Lager"
"U301, ","1","","MEJ1S0305SC","MEJ1S0305SC","LEA_FootprintLibrary:SIP-7_Murata_MEJ1S0305SC","0","0"
"U302, ","1","595-ISO7741FQDWWQ1","ISO7741FQDWWQ1","ISO_ISO7741FQDWWQ1","LEA_FootprintLibrary:SOIC-16_TI_DWW0016A_Optimized","6.19","9125 Auf Bestellung"
"U401, ","1","584-AD5664BRMZ","AD5664BRMZ","DAC_AD5664BRMZ","LEA_FootprintLibrary:MSOP-10_AnalogDevices_RM10","20.03","450 Auf Bestellung"
"Gesamtpreis: ","44.58"
